gene	P1_1	P1_2	P1_3	P1_4	P1_5	P1_6	P2_1	P2_2	P2_3	P2_4	P2_5	P2_6	HYB_1_P1	HYB_2_P1	HYB_3_P1	HYB_4_P1	HYB_5_P1	HYB_6_P1	HYB_1_P2	HYB_2_P2	HYB_3_P2	HYB_4_P2	HYB_5_P2	HYB_6_P2
CG7339	198.746960438684	146.128024850114	166.523691779785	187.49789064873	185.356151150812	204.658415359127	194.124038145882	183.539285204454	210.182956932046	201.897182231745	163.321405921568	226.497976880058	170.698451701821	156.735461561444	152.971929650909	107.180531502615	101.045211669509	134.882122659233	164.748735609875	159.265715804179	191.138891986047	159.916622781502	148.079160001481	219.556555098311
CG7340	232.093765881416	242.155012608761	270.811256328741	278.746864097779	270.905143989649	300.722569507288	245.958205399494	277.108332563588	257.433389110568	319.127804172759	277.858495788641	261.508705167512	273.96047803996	266.123752442869	283.447987294331	236.925385426832	321.32377310904	279.398682651269	347.552127176997	235.436275536613	282.157411979403	198.517186901174	251.344890002513	320.433891224562
CG7341	53.3548887083715	58.4512099400458	80.7387596508049	47.4994656310117	61.7853837169374	50.1204282512147	119.93003403777	119.960317127094	114.052767327467	132.427184044478	114.537089867073	108.604708157	46.3625424375317	75.1024086648588	58.4892672194652	78.9751284756108	88.9197862691683	83.4984568842872	121.868927711414	93.482050580714	91.0185199933557	88.2298608449664	101.317320001013	71.207531383236
CG7347	96.0387996750687	102.985465132462	94.1952195926057	69.9992125088593	104.559880136356	80.7495788491793	105.701046948543	74.3753966187985	80.6515997529943	60.7862484138588	72.115945471861	85.0260544123878	71.6512019489127	84.8983750124491	94.4826624314438	95.8983702918131	92.9615947359487	70.6525404405507	63.191295850363	65.7836652234654	86.4675939936879	66.1723956337248	81.8332200008183	77.141492331839
CG7351	549.555353696227	551.111408006146	514.709592773881	482.494571936066	534.681205242727	556.893647235719	735.841903757164	647.78571248631	653.359424261631	594.836859478476	619.3487081701	615.903015995616	408.833328767325	496.328961611241	494.909184164706	541.543738118474	549.685951482131	558.797365302537	577.74899063189	616.289074198781	559.763897959137	479.749868344504	572.832540005728	557.792329168682
CG7354	216.087299268905	199.012452891108	275.857428806917	196.247792212338	210.307940728806	214.404054185752	283.56338556388	280.707142077401	263.136027476941	313.700460564379	248.163694711992	261.508705167512	248.671818528579	213.878598589054	200.213260866631	203.078901794428	204.111327572409	231.226495987257	232.45369544955	244.092020960753	275.331022979901	242.632117323657	226.01556000226	201.754672252502
CG7357	242.76474362309	205.970930264923	156.431346823434	202.497721900629	215.060662553186	204.658415359127	175.829626174018	181.140078861912	173.523138862503	134.59812148783	216.347836415583	184.342202003328	177.020616579667	194.286665893874	186.715737662139	245.387006334934	141.463296337313	208.746142210718	209.885375502991	154.072268549695	204.79166998505	137.85915757026	138.337110001383	213.622594149708
CG7360	256.103465800183	271.380617578784	299.406233705068	312.49648441455	325.561444970016	258.955545964609	288.645166667175	335.888887955864	273.72664158592	303.931242069294	301.190125206008	302.949975385315	383.544669255944	408.165264482928	485.910835361711	406.157803588855	424.389889011939	552.374407080669	343.038463187685	342.767518795951	273.055559980067	237.117751020847	245.499660002455	397.575383556401
CG7361	372.150348740891	396.633210307453	487.796672890279	357.495978170246	304.174196760307	325.782783632896	544.76693427326	704.167061536044	531.160030696488	621.973577520377	754.0358416249	870.266674573852	712.297242903897	728.166831837544	575.894323391658	287.695110875439	260.696646107334	186.265788434179	731.213566268486	881.154884177471	1312.94215090416	1042.21523123117	1260.62127001261	1821.72601122112
CG7372	746.968441917201	693.064346431971	716.556491900893	722.49187196644	765.188213725148	817.241427318418	518.341672536124	535.023014386841	617.514268815855	562.272797828194	496.327389423984	484.434158752932	779.733668267579	706.942238084431	751.362125050053	925.137219285726	771.985417155052	696.890967072705	595.803646589137	477.797147412538	464.194451966114	562.465362886661	529.9675200053	433.179149248019
CG7376	276.111549065823	283.905876851651	238.852163966964	253.747145344615	192.485233887382	265.916716555056	333.364840376174	343.08650698349	318.533085893139	265.939836810632	249.224223321873	240.073565399683	168.591063409206	236.735853400098	224.958720074866	186.155659978225	258.675741873944	183.054309323245	214.399039492303	157.534566719351	234.372688982891	212.3031026582	261.086940002611	201.754672252502
