P1_1.x	P1_2.x	P1_3.x	P1_4.x	P1_5.x	P1_6.x	P2_1.x	P2_2.x	P2_3.x	P2_4.x	P2_5.x	P2_6.x	HYB_1_P1.x	HYB_2_P1.x	HYB_3_P1.x	HYB_4_P1.x	HYB_5_P1.x	HYB_6_P1.x	HYB_1_P2.x	HYB_2_P2.x	HYB_3_P2.x	HYB_4_P2.x	HYB_5_P2.x	HYB_6_P2.x	chrom.x	pos_start.x	pos_end.x	P_est.mean.x	P_p_value.x	H_est.mean.x	H_p_value.x	H_P_est.x	H_P_p_value.x	P_qvalue.x	H_qvalue.x	P_H_qvalue.x	Direction_parent.x	Direction_hybrid.x	Regulatory_class.x	Direction.x	trans_reg_diff.x	perc_cis.x	P1_1.y	P1_2.y	P1_3.y	P1_4.y	P1_5.y	P1_6.y	P2_1.y	P2_2.y	P2_3.y	P2_4.y	P2_5.y	P2_6.y	HYB_1_P1.y	HYB_2_P1.y	HYB_3_P1.y	HYB_4_P1.y	HYB_5_P1.y	HYB_6_P1.y	HYB_1_P2.y	HYB_2_P2.y	HYB_3_P2.y	HYB_4_P2.y	HYB_5_P2.y	HYB_6_P2.y	chrom.y	pos_start.y	pos_end.y	P_est.mean.y	P_p_value.y	H_est.mean.y	H_p_value.y	H_P_est.y	H_P_p_value.y	P_qvalue.y	H_qvalue.y	P_H_qvalue.y	Direction_parent.y	Direction_hybrid.y	P_H_ratio	Regulatory_class.y	Direction.y	trans_reg_diff.y	perc_cis.y	Gene	perc_cis_diff
312.126098943973	436.99237907558	373.416763384972	394.995556299992	365.959580477245	398.178957773539	315.070428404311	239.920634254189	252.545413367962	297.418429739238	326.642811843135	388.69053445663	366.685562915024	320.001567354616	341.937254513797	417.439964799657	392.055421277696	340.416785759017	239.224191433517	244.092020960753	232.097225983057	328.104795017219	346.816980003468	166.150906560884	0	0	0	0.225879784613996	6.32017770438711e-11	0.336199137872184	5.86182454794955e-11	-0.110295204037545	0.015693008677877	1.67655476103736e-09	1.73510012507653e-09	0.0309043966685155	Ambig	P1	Ambiguous	NA	-0.110319353258188	75.2934412684877	128.431468393399	148.872663954463	126.078916706761	137.900867263507	130.363516727905	140.679652935877	67.0102947762406	77.7611695279897	70.0258668720433	64.5252172116636	60.9088486766444	74.6400999260384	135.891963022478	141.206040794425	148.767679353565	152.760341174946	130.51744319805	149.311994841679	99.836173593237	138.209571780677	92.853361329121	96.2231314878032	75.5267383708744	99.0865851269197	0	0	0	0.67186606926098	3.39819343417113e-11	0.355251183401297	5.05837745673767e-11	0.316623859994061	7.89004607571198e-05	2.48107686454903e-09	2.9911633292675e-09	0.0009276359401231	P1	P1	1.89124231150563	Cis_+_Trans,opposing	Opposing	0.316614885859683	52.8752975711448	CG10005	-0.509930321299138
472.190765069088	556.678189905198	445.745235572152	506.244304751572	570.326618925576	522.087794283487	428.902325118126	454.649601911688	453.767081438564	372.315771534885	500.569503863506	445.85090717084	501.558413642389	468.573723626401	636.633177811872	564.108060540077	489.058824480426	504.202220416657	336.267967203717	408.551184019417	493.775470963954	339.133527622839	405.269280004053	344.169735018974	0	0	0	0.145871728594519	3.28834737670692e-08	0.307198321228295	6.17376426414096e-11	-0.161311559686011	2.20694906063468e-05	7.46252742008123e-07	1.73510012507653e-09	8.25304086138734e-05	Ambig	P1	Ambiguous	NA	-0.161326592633776	65.5671261312544	77.3601062284333	83.8326342386573	75.1763655650944	81.3328366469078	80.9319973738294	75.6498650741012	26.855270807272	20.7363118741306	20.4953756698663	27.0846590765008	28.2380646155872	25.674727247286	87.4410310587675	70.6030203972126	83.064791218009	75.1071677443484	57.200138544424	56.6419880929255	22.1858163540527	15.3566190867419	22.4645229022067	32.0743771626011	18.7084581285652	20.4302237375092	0	0	0	1.15725768566152	1.27571783716962e-11	1.18701632590444	1.09155821030521e-11	-0.0295992847472331	0.82733620951389	1.22769203897923e-09	1.12655040715005e-09	0.919031706136098	P1	P1	0.974929881254796	Cis	NA	-0.02975864024292	97.5543020631708	CG10007	0.57323283431395
612.247347928563	556.678189905198	565.171317555634	566.243629759165	476.460362894075	588.915031951773	605.748307512804	465.446030453126	571.893161884869	471.093425207406	482.54051749554	418.69973013159	415.155493645171	630.207168361641	440.919091346738	468.209690248264	468.849782146524	430.338200865172	426.54124698995	585.128390671876	452.817136966944	374.976908591107	518.277060005183	359.004637390481	0	0	0	0.10988402312259	1.18088557246311e-05	0.0491573567694273	0.0672168545797412	0.0607137581719896	0.0989174875623515	0.000218658211704473	0.805237414672614	0.154080004323031	Ambig	Ambig	Trans	NA	0.0607266663531627	44.7356725504907	117.751666117615	106.295669332378	113.579713757384	103.490820989815	98.3784159693854	112.456434042847	120.976600874663	116.888615147629	127.852105369166	128.519362676729	130.847311038506	126.906508965156	93.1748691609818	127.085436714983	101.447982717077	66.4507484111015	119.140620062143	111.798284694889	122.655870414548	76.7830954337093	120.934014956879	81.0154526607078	127.148224688582	127.075991647307	0	0	0	-0.142685082552182	0.00748290798064244	-0.0572468322584873	0.305729876380526	-0.085412782264613	0.269135044163276	0.140116719573046	1	0.48090858404964	P2	Ambig	2.49245376421728	Conserved/Ambiguous	NA	-0.0854382502936947	40.1211053282682	CG10011	-0.157064353388762
269.442187977276	271.380617578784	306.134463675968	307.496540663918	182.979790238622	242.248736547538	382.149938967809	399.467856033224	484.724261141733	418.990926566955	396.637700095235	352.965301510249	402.51116388948	346.124144281523	272.200051290588	220.00214361063	141.463296337313	77.075498662419	401.716095048736	370.4659041532	441.439821967775	454.935219981858	600.110280006001	732.84417715247	0	0	0	-0.43266025044267	0	-0.721055048592813	0	0.288381341576483	6.84374125437888e-11	0	0	4.75641024070134e-10	P2	Ambig	Ambiguous	NA	0.288394798150143	71.430497604149	154.720212456867	154.01126675368	162.12734260424	144.417921482009	129.757738304448	155.809625950697	153.714454811147	152.436578360424	176.162633733851	169.677423038078	160.72712359686	163.768081655903	203.551252628606	240.050269350523	162.044428769559	149.195933214197	233.224874286104	193.139893825058	184.142275738637	107.496333607193	143.024129144049	143.5051874775	217.572438976647	181.624689026457	0	0	0	-0.0805785549248744	0.0805468462885439	0.189380648032133	1.13427026121827e-05	-0.270059969203438	1.89706138311596e-05	1	0.000332689482227381	0.000260298197103038	Ambig	P1	0.425484629829772	Compensatory	Opposing	-0.269959202957007	41.2288739207629	CG10016	-0.792885113958656
556.224714784773	513.535630187545	575.263662511985	483.744557873724	489.530347911119	529.048964873933	571.192196010395	524.226585845402	633.807521291208	531.879673621265	471.935231396737	513.728849768965	396.188999011635	422.859214004314	429.671155342995	282.054030270039	466.828877913133	436.761159087041	598.060478583793	431.056122122181	384.553246971928	523.864798766988	442.289070004423	356.03765691618	0	0	0	-0.0310786283194438	0.213346146779561	-0.116720990820977	2.73555917105206e-05	0.0856312954856147	0.0224410657692895	1	0.00051556716695423	0.0422000461192361	Ambig	Ambig	Compensatory	Opposing	0.0856423625015332	57.6789171085521	9.44751739780867	13.2135500551299	12.3180550805456	11.8610386776741	11.6309457303707	11.0565187415994	11.3815195326058	12.9601949213316	12.6876135099173	17.3925997010863	12.1489347764736	15.9550090750991	16.9148224015321	14.1206040794425	14.2980378326081	9.92942217637149	18.6453490282929	10.5855518731041	7.28962537347445	15.3566190867419	15.3507573165079	8.57160079345373	24.2517049814734	17.5699924142579	0	0	0	-0.171180451413103	0.291651163636878	-0.0448944518755961	0.766200515170588	-0.126403643709249	0.568982323788457	1	1	0.746042397821078	Ambig	Ambig	3.81295336643043	Conserved/Ambiguous	NA	-0.126285999537507	26.2263894650296	CG10023	-1.13702487067863
433.508470755519	427.250510752239	381.827050848598	413.745345364865	392.099550511333	377.2954460022	249.007274061471	293.902776961381	320.162411140674	260.512493202252	313.916468524571	327.957638447782	653.290370710675	566.533387102304	566.895974588663	544.364278421174	462.787069446353	263.341287096598	352.065791166308	387.77739500148	475.571766965283	430.120571619211	586.471410005865	528.122524425667	0	0	0	0.317682214058144	5.99709674473012e-11	0.102172981417147	0.000100844111271715	0.215499703783027	1.2481581214606e-07	1.67655476103736e-09	0.00178263658391593	6.70063833626217e-07	P1	Ambig	Ambiguous	NA	0.215509232640997	32.1620087294049	65.4480190746745	65.627298607145	61.7714232715595	72.2089607410047	66.9990936343228	51.6455809640499	61.895005098665	69.2444700082575	59.0462013346149	76.0760277001712	62.7147714136878	62.7196908469414	67.6592896061283	28.241208158885	55.8304334416126	56.52132623473	57.200138544424	59.0562367657388	71.9454330338565	92.1397145204512	71.8864732870614	61.9367283139882	53.7002038875483	62.7207868741533	0	0	0	-0.0205625019221852	0.77255279502891	-0.244250906369924	0.000920035192756075	0.223745598796234	0.0302495911200148	1	0.0198922345213456	0.112563604542087	Ambig	P2	0.0841859800145134	Conserved/Ambiguous	NA	0.223688404447739	52.1971334152558	CG10033	0.69861306327656
446.847192932611	395.24151483269	435.652890615801	329.996287541765	463.39037787703	407.924596600164	512.243535212169	514.629760475235	563.746535647192	514.512174074448	545.111705478479	493.008214660064	417.262881937786	413.063247656723	332.938905710802	389.234561772653	385.992708577526	369.320097757424	383.66143909149	415.475780358729	393.655098971263	405.305923256564	399.424050003994	323.400871698863	0	0	0	-0.23735471736933	0	-0.00565148433982485	0.845350768610355	-0.231708285116744	3.80514286746347e-09	0	1	2.36960265304357e-08	P2	Ambig	Trans	NA	-0.231703233029505	2.38102886787415	80.9200403203612	84.4199031299964	81.3353931053672	71.0358909816743	88.2013384553111	72.3038133496698	70.7188797924829	70.1084830030129	57.7042422133737	53.5054784697539	59.7596251167078	57.2179635796658	83.4273443872176	112.96483263554	64.3411702467365	105.404635410713	75.2134418429442	70.0132115115834	73.5301342020031	122.852952693935	65.5215251314362	87.9280339457512	73.101567872727	60.4734622630273	0	0	0	0.259135365364205	0.000171528172347266	0.0561566162736587	0.377761183894094	0.202997477873093	0.0307767880261084	0.00435946490039324	1	0.113829714863458	P1	Ambig	4.61451174517716	Conserved/Ambiguous	NA	0.202978749090546	21.6707650824629	CG10038	3.18609307118827
190.743727132428	205.970930264923	228.759819010614	181.247960960439	219.813384377566	194.912776532502	190.058613263245	187.138094718267	161.303199505989	132.427184044478	199.379378657498	158.620034281934	191.772334627972	251.429802921484	193.464499264385	174.873498767424	206.132231805799	160.573955546706	157.978239625908	193.88869750074	163.83333598804	137.85915757026	194.841000001948	130.547140869266	0	0	0	0.171471987588251	4.95100530445554e-05	0.185250421389421	1.76468438781745e-05	-0.0137467847967607	0.818066211956224	0.000857262326138109	0.00033991675931734	0.867948298051116	P1	P1	Cis	NA	-0.01377843380117	93.0771677363186	102.416565413926	122.005112175699	119.919889166488	106.097642677216	111.947852654818	104.600486515921	121.104483116603	106.397028782741	121.508298614208	116.304712504974	121.817697353289	126.906508965156	103.209085839857	56.4824163177701	123.916327882604	91.4016041363427	108.711865520894	121.083856513401	108.710500134858	46.0698572602256	125.801328252357	89.3105502027598	121.951430763981	107.462976859298	0	0	0	-0.0681074405265566	0.204937788559279	0.00909940341549825	0.87692663641432	-0.0772649602435068	0.325953877360752	1	1	0.540592896365074	Ambig	Ambig	7.48482481945519	Conserved/Ambiguous	NA	-0.0772068439420548	10.5431572963668	CG10042	-3.1421203444086
56.0226331437901	66.8013827886237	80.7387596508049	77.4991281348085	97.4307973997859	69.6117059044649	140.257158450951	103.165872729301	99.3888400996495	91.1793726207882	114.537089867073	112.891736110565	75.8659785341429	84.8983750124491	116.97853443893	141.027015135019	113.170637069851	96.3443733280237	108.327935743479	131.567330446931	95.5694459930234	82.715494542156	77.9364000007794	83.075453280442	0	0	0	-0.389282964793737	0	0.0812918155937204	0.159012457509307	-0.470812708487442	1.52587460444664e-08	0	1	9.09987314506686e-08	P2	Ambig	Trans	NA	-0.470574780387457	14.7303381262259	26.2887440634676	26.8675517787641	33.5123557338373	36.2348214548724	29.4408313800008	23.8588036002935	16.368926968242	12.589903637865	20.9833608048632	17.1270638277872	16.417479427667	14.3044908949165	30.962725751957	42.3618122383276	25.8726398875766	26.4784591369906	27.8100121099962	31.1995213102016	28.5246210266391	15.3566190867419	23.2133403322802	16.590195084104	19.4013639851787	18.3872013637583	0	0	0	0.588712405953896	1.49403643778623e-06	0.418837069510028	0.000275998419991065	0.169904533199214	0.324521624240263	5.08041904911275e-05	0.0065334482235349	0.539319287504033	P1	P1	1.40558811244333	Cis	NA	0.169875336443868	71.1445971367603	CG10059	2.27196365279213
85.3678219333944	93.2435968091206	90.8311046071555	62.4992968829101	114.065323785115	77.9651106130007	169.731488850064	143.952380552513	130.346019802819	136.769058931182	135.74766206468	142.900931785526	122.228520971675	94.6943413600393	85.4843136284492	101.539450897214	149.546913270874	128.459164437365	94.7869437755445	155.803417634523	136.527779990033	137.85915757026	130.543470001305	195.820711303899	0	0	0	-0.494783083497906	0	-0.221782405212424	1.44512400381824e-05	-0.273002740644106	0.000292938970189338	0	0.00028027925256028	0.000873501485705707	P2	Ambig	Ambiguous	NA	-0.273000678285482	44.8241689357115	46.1422226530655	46.2474251929545	54.7066563871289	55.7859841103791	47.9776511377791	46.6992436322817	47.4443117595139	44.6818148716385	60.9981418746022	58.2851241891364	62.0580722365811	45.8477272272963	45.8707048177141	28.241208158885	43.2345429700293	29.2790653918646	51.5117269764702	45.3135904743404	53.5628994833557	15.3566190867419	40.436141223972	36.221925933627	43.9995218949589	47.8067235457716	0	0	0	-0.0704684909737926	0.380388721360459	0.0251507442103752	0.78519476242487	-0.0957676235808026	0.429759588664332	1	1	0.640864862667228	Ambig	Ambig	2.80184516149319	Conserved/Ambiguous	NA	-0.0956192351841678	20.8253278972669	CG10061	-1.10593762382196
