P1_1.x	P1_2.x	P1_3.x	P1_4.x	P1_5.x	P1_6.x	P2_1.x	P2_2.x	P2_3.x	P2_4.x	P2_5.x	P2_6.x	HYB_1_P1.x	HYB_2_P1.x	HYB_3_P1.x	HYB_4_P1.x	HYB_5_P1.x	HYB_6_P1.x	HYB_1_P2.x	HYB_2_P2.x	HYB_3_P2.x	HYB_4_P2.x	HYB_5_P2.x	HYB_6_P2.x	chrom.x	pos_start.x	pos_end.x	P_est.mean.x	P_p_value.x	H_est.mean.x	H_p_value.x	H_P_est.x	H_P_p_value.x	P_qvalue.x	H_qvalue.x	P_H_qvalue.x	Direction_parent.x	Direction_hybrid.x	Regulatory_class.x	trans_reg_diff.x	perc_cis.x	P1_1.y	P1_2.y	P1_3.y	P1_4.y	P1_5.y	P1_6.y	P2_1.y	P2_2.y	P2_3.y	P2_4.y	P2_5.y	P2_6.y	HYB_1_P1.y	HYB_2_P1.y	HYB_3_P1.y	HYB_4_P1.y	HYB_5_P1.y	HYB_6_P1.y	HYB_1_P2.y	HYB_2_P2.y	HYB_3_P2.y	HYB_4_P2.y	HYB_5_P2.y	HYB_6_P2.y	chrom.y	pos_start.y	pos_end.y	P_est.mean.y	P_p_value.y	H_est.mean.y	H_p_value.y	H_P_est.y	H_P_p_value.y	P_qvalue.y	H_qvalue.y	P_H_qvalue.y	Direction_parent.y	Direction_hybrid.y	Regulatory_class.y	trans_reg_diff.y	perc_cis.y
598.90862575147	636.004831966688	642.545962220989	578.743489135747	670.133777237552	648.781099029613	672.827818076302	573.410315867511	664.764700994377	623.059046242053	558.898577406923	587.322829638511	440.444153156552	579.594675565758	546.649689781925	566.928600842777	571.915898049423	452.818554641711	591.289982599825	592.052987011188	564.314823958805	601.065927006333	695.582370006956	433.179149248019	0	0	0	0.0254289590354509	0.274041775147327	-0.0962297031532809	8.95753085710105e-05	0.121679692256199	0.000321355838472363	1	0.00159008935033424	0.000945841363384328	Ambig	Ambig	Compensatory	0.121658662188732	44.1646817636325	219.297101551886	225.647794716769	245.008447841785	215.160236129093	212.187867291692	212.990874341268	318.123433942574	296.13609550127	331.672847174717	314.34089233878	313.190127771441	301.680859881126	235.243647442968	358.072601639392	242.799421729622	165.785865687004	296.708942307982	263.063877421252	298.572339356811	381.443298969072	288.419047294203	243.013101701888	378.337602173149	306.172917042841	0	0	0	-0.343240422512067	0	-0.193935552812117	1.02829176285013e-08	-0.149283366792759	0.00254862538367884	0	1.95424727636723e-07	0.00705371262225465	P2	P2	Cis_&_Trans	-0.14930486969995	56.5013734084012
465.521403980541	623.479572693821	639.181847235538	788.741126662325	683.203762254596	754.5908920044	543.750578052601	633.390474431058	448.06444307219	733.77685585301	844.180773464726	721.649705516905	729.156349244817	671.023694809934	893.086118697219	581.031302356279	871.009724591171	1451.58855814222	821.486846054719	817.102368038833	821.442142940035	625.88057536898	808.590150008086	1293.60348679545	0	0	0	0.0075952373777243	0.738519711670696	0.00161977155753446	0.936648448964348	0.00597094530766932	0.84409680154268	1	1	0.887700657210647	Ambig	Ambig	Conserved	0.00597546582018984	21.3261479132306	540.137890738247	636.442497919092	654.345794034019	703.904037475653	573.285268097151	683.885063377533	509.646725805961	594.565280237616	443.645078061457	663.152121166983	503.703109854631	621.496881119851	617.661357179707	522.592445635869	589.390962671906	597.371565113501	560.689467177058	614.817862087384	615.433297791033	474.226804123711	524.671866903889	591.05422053276	566.811780979112	614.24080351035	0	0	0	0.128042596323953	6.48331101704341e-08	0.0336916361510425	0.163327675496433	0.0943406251522622	0.00535231579351205	1.06887046161521e-06	1	0.0137485490256176	P1	Ambig	Trans	0.0943509601729105	26.3128342585317
274.777676848113	311.739786346911	255.672738894215	282.496821910754	270.905143989649	336.92065657761	399.427994719013	351.483729182386	327.494374754583	379.914052586618	356.337612919784	327.243133788854	202.309276091048	166.531427909035	256.452940885348	180.514579372825	258.675741873944	282.610161762203	374.634111112866	330.649475202155	411.858802969934	270.203948837709	366.301080003663	293.731066955848	0	0	0	-0.212082160264418	0	-0.418567768071659	0	0.206468584106074	1.48711350207108e-05	0	0	5.78800228832402e-05	Ambig	P2	Ambiguous	0.206485607807241	66.9651239757089	413.068542175472	475.835535278067	466.753467302633	445.8529585415	437.688838573026	459.911234189938	506.913119499258	530.522573743702	514.974327183185	492.586466517248	505.685325853184	525.429539874196	485.36126926669	329.039687992955	412.388330800311	433.958912227742	436.2353534949	433.429055179778	553.33705627238	618.556701030928	517.147891757084	535.280721781507	518.188221336296	541.149125701714	0	0	0	-0.130716849345224	6.9129104707244e-07	-0.26054771179291	0	0.12981546698358	0.000518082356158503	1.07959158344266e-05	0	0.00175829626461615	P2	P2	Cis_&_Trans	0.129830862447686	66.7423186069455
561.56020365561	541.369539682805	696.371801988192	568.743601634482	636.864724466893	590.307266069862	564.077702465782	508.63174461888	564.56119827096	538.392485951321	433.756201441046	502.296775226123	583.746557054377	584.492658739553	573.644736190909	628.980487502186	695.191056286225	488.144824861987	464.907390899099	526.269321787723	323.115745976413	419.09183901359	346.816980003468	311.532949801657	0	0	0	0.144402631889067	1.78255711802086e-09	0.396091600998745	5.94294083156005e-11	-0.25167909120832	0	4.2911777760387e-08	1.73510012507653e-09	0	Ambig	P1	Ambiguous	-0.251688969109678	61.1459527000708	602.368334169283	513.144233431945	624.647800356227	481.330569256797	533.674674745255	512.47251809736	630.096253695067	580.47916065072	662.692795043972	634.397073629175	637.392566645956	579.83502394699	539.377281491531	425.816066814412	594.024539422471	388.867869004078	627.438213269565	557.194346080824	571.200358627061	432.989690721649	622.483543812358	372.30621244343	634.884764479054	547.375453811339	0	0	0	-0.130951084692749	4.17320424883627e-08	-0.0153507336753639	0.54034892166849	-0.115593480061888	0.000877959242190585	6.99131864114427e-07	1	0.00279979128415108	P2	Ambig	Trans	-0.115600351017385	11.7224944805775
508.205314947239	482.918329742759	664.412709626415	527.494065691761	512.105776576923	498.419814275969	537.652440728646	514.629760475235	460.284382428705	453.725925660589	392.395585655714	442.278383876202	444.658929741782	440.818485641562	551.148864183422	609.236705383283	602.229461550276	481.721866640118	413.000255022015	441.443016631149	455.092599966778	479.749868344504	342.920160003429	370.872559287687	0	0	0	0.131139715309849	4.01065007288531e-07	0.223414632867967	6.45138240033052e-11	-0.0922577037282817	0.0132217469335709	8.53619708540662e-06	1.73510012507653e-09	0.0265873062063241	Ambig	Ambig	Ambiguous	-0.092274917558118	70.7703604906862	210.167485599428	186.743002524223	239.563815667523	215.513247180986	200.682715695706	183.376121094922	274.385733035325	266.489727533499	282.052499959602	285.228639241495	281.694918016648	279.624582554318	215.281208142483	232.263309171497	210.827742150721	177.99096009341	226.945736714523	186.149010403801	276.030553052094	206.185567010309	258.824745050102	198.104570239841	243.11779821408	213.319415234092	0	0	0	-0.300545683784207	0	-0.110556038886078	0.00445811368187932	-0.189976973092662	0.000437051364189811	0	0.0522616024096781	0.00150857218037108	P2	Ambig	Ambiguous	-0.189989644898129	36.785102848277
152.061432818859	164.220066022033	181.662209214311	177.498003147465	163.968902941103	175.421498879252	219.532943662358	237.521427911647	294.907869803878	141.110933817887	190.895149778456	132.897866560539	214.953605846738	163.266105793171	206.962022468877	253.848627243035	173.797764071556	224.803537765389	248.25151941214	141.954224955899	191.138891986047	209.545919506795	233.809200002338	255.160320789929	0	0	0	-0.181479911191943	1.84052050402617e-05	-0.0335139213467783	0.399084888133048	-0.147958140041588	0.0109762321966322	0.00033540918660305	1	0.0224224411862141	Ambig	Ambig	Trans	-0.147965989845165	18.4670144076344	1746.92406469879	1619.4369139841	1565.82671666159	1659.50495495138	1757.32972663267	1601.15791723951	1641.70143756939	1540.62838179477	1663.58743031728	1841.3946590982	1730.03407429302	1501.54234645951	1736.73221914218	1316.15875197182	1578.6595989176	1653.45126166773	1548.57090934616	1492.69960159602	1753.58084781785	1721.64948453608	1632.20100851363	1773.52482717459	1611.98677253945	1535.19594389916	0	0	0	0.00315284601464025	0.826871470922404	-0.0725591583109489	4.7003805159207e-07	0.0757174998016778	0.000187529769491586	1	8.15258606539953e-06	0.00069466057906182	Ambig	P2	Compensatory	0.0757120043255892	48.9367972980798
344.139032168996	283.905876851651	220.349531546988	163.748157833224	196.049775255667	395.394489537361	371.986376761218	283.106348419943	298.981182922716	270.281711697337	221.650479464985	211.493379042578	345.611679988873	408.165264482928	341.937254513797	361.029158745649	335.470102742771	147.72803910297	248.25151941214	218.124784688333	191.138891986047	306.047329805977	335.126520003351	412.410285927908	0	0	0	-0.0330621936582059	0.343944526698144	0.125480061758047	0.000154755174088436	-0.158586297315621	0.000998744371967675	1	0.00267774351917742	0.00264247392869444	Ambig	Ambig	Compensatory	-0.158542255416253	44.1796486298793	179.238582576817	182.952279182385	181.652727995828	161.326050715333	162.715715428951	211.029632404424	158.720016182949	150.033552809272	187.382100667606	153.598390574631	166.726390100549	168.607986676048	155.393890241029	212.908033407206	175.149201171368	163.073622485581	176.130562269905	181.889880959837	173.529222874044	247.422680412371	165.527453229716	172.752979898362	181.527955999846	179.209965590062	0	0	0	0.0909503428774793	0.039201702692893	-0.0507102192012252	0.235097793638093	0.141724229539129	0.0212137021833805	0.401101921870336	1	0.044592816873369	Ambig	Ambig	Trans	0.141660562078705	26.3606660345335
602.910242404598	684.714173583393	568.535432541084	471.244698497142	451.508573316081	559.678115471898	707.38392957871	686.17301396698	710.385807925364	637.170139623842	712.675225839567	647.341220988431	1024.19071021093	793.473274154812	683.874509027593	575.390221750879	699.232864753005	372.531576868358	631.91295850363	713.233422949151	869.226865936546	1020.15776601992	978.101820009781	1234.26387730942	0	0	0	-0.205701837286831	0	-0.272228501249781	0	0.0665462492911017	0.03283077045718	0	0	0.0589280455171956	P2	Ambig	Ambiguous	0.06652666396295	80.361431855608	253.766059739735	281.511086070169	249.215663612806	223.98551242643	239.471512505031	243.78237274972	318.80683551925	301.049858147862	351.259826338578	306.482370030311	305.70175622135	316.385044765666	297.088067236627	290.329136464372	284.038254809653	202.740179306398	394.463557553137	319.935782349466	293.043221961314	268.041237113402	273.872695343713	207.158709647512	373.243705448663	340.282366686871	0	0	0	-0.241707381328137	0	0.0185719610318435	0.582613776732134	-0.260331653892406	6.01104497288674e-08	0	1	3.90557200110021e-07	P2	Ambig	Trans	-0.260279342359981	6.66016647795523
94.7049274573594	102.985465132462	109.333737027132	89.9989875113905	97.4307973997859	132.262241218483	426.869612676808	406.66547506085	497.758863122015	529.708736177913	485.722103325181	468.000551597597	183.342781457512	166.531427909035	213.710784071123	160.770797253922	194.006806405458	186.265788434179	927.557949803543	912.315567704375	889.706032935051	904.356073660905	925.494750009255	706.141352883757	0	0	0	-1.50208481465242	0	-1.56164120061175	0	0.05963071561298	0.281675251175445	0	0	0.371630416136024	P2	P2	Cis_&_Trans	0.05955638595933	96.326395594673	238.115289535522	215.472695220257	239.811298948171	253.285429733591	243.744854526398	227.30794048023	336.746126906989	336.756533379763	331.18317269562	373.279809652301	352.393955298386	372.50601707499	263.425914690711	309.684412228663	265.503947807392	207.486604908889	240.295485933025	245.776822619284	330.471093561598	371.134020618557	357.138020301691	294.44061353746	337.586428377265	351.92289315269	0	0	0	-0.39419344353505	0	-0.287542623911229	0	-0.106625496169303	0.0267631048998977	0	0	0.0538750909208016	P2	P2	Cis_&_Trans	-0.106650819623821	72.9445475634
273.443804630404	325.656741094541	287.631831255992	279.996850035437	294.668753111548	299.330335389199	741.940041081118	686.17301396698	753.562926985048	657.794045335687	615.106593730579	505.154793861833	482.591919008853	497.961622669172	447.667852948984	530.261576907672	527.456004914839	411.069326199568	1363.12652477212	1080.23702893269	1008.03010892641	1171.80283934721	1036.55412001037	1047.34410742843	0	0	0	-0.810398504544388	0	-0.839448546050511	0	0.0290883943511287	0.424429856141425	0	0	0.516651652043759	P2	P2	Cis	0.029050041506123	96.6551423430808	502.874152156788	516.535933264116	524.664554974327	503.393760000141	490.119457989021	537.772539082649	588.067056729507	557.056892035298	580.753932208486	653.686173840872	613.385728441254	515.381680203094	515.109218028196	454.848980460849	475.868332283056	479.388985851583	501.692188372713	480.279479063372	570.77504190433	515.463917525773	517.147891757084	514.999449508324	546.899275601578	545.75119430448	0	0	0	-0.131688137109184	8.98799681348095e-08	-0.0993824493695612	0.000102431824142935	-0.0322937888225718	0.362819314700046	1.46882972250605e-06	0.00142660832734697	0.459672020188275	Ambig	P2	Ambiguous	-0.0323056877396228	75.4680349735392
