gene	RNA_P1_1	RNA_P1_3	RNA_P1_5	RNA_P2_1	RNA_P2_3	RNA_P2_5	RNA_HYB_P1_1	RNA_HYB_P1_3	RNA_HYB_P1_5	RNA_HYB_P2_1	RNA_HYB_P2_3	RNA_HYB_P2_5
CG10173	535.502724903246	536.4220648276	427.728888780442	801.245961175129	916.397320157026	649.494155780375	505.333658489983	450.313196873155	577.710820872294	1002.576173422	681.409899027442	862.649248122758
CG10192	241.687070531554	290.065264684554	199.51112597477	206.237865746261	186.708809512242	232.049896866713	170.958650633427	118.645393188137	224.111956372872	199.988947979191	139.37929752834	161.20213222496
CG10197	120.053708237896	133.112142012775	116.261879165154	106.674758144618	187.661405479141	217.316570081524	173.47274843686	105.16296214403	84.664516851974	255.249052026072	178.095769063991	165.558946609418
CG10198	467.577600505489	598.011264863361	551.167427153321	573.673143799945	545.837489033239	465.327570965524	460.079898028193	409.865903740835	510.477233960432	460.500867057347	325.218360899461	357.258779525586
CG10203	398.072822051971	329.800232449561	218.170439914856	694.571203030511	659.196409094243	584.421962479128	522.932343114012	409.865903740835	169.329033703948	536.812439312564	614.301348365649	736.301630973465
CG10208	64.7658162862333	43.7084645415081	63.1546010279847	128.009709773541	118.1218998955	144.877713387683	55.3101516755205	97.0735035175663	62.2533212146868	110.520208093763	108.40612029982	115.455581188147
CG10210	609.74646552405	786.752361747147	624.369351072121	637.677998686715	545.837489033239	461.644239269227	538.016929934608	663.335607370036	749.529987424829	489.446635843809	521.381816680088	387.756480216795
CG10211	225.890529973936	174.833858166033	132.05052942215	309.356798619392	319.11964891123	125.233277674099	196.099628667754	118.645393188137	166.838900855361	136.834543354183	312.312870387578	455.2871031759
CG10214	240.107416475792	234.436309813544	246.877076745758	248.907769004108	261.01129493038	211.177683921029	186.043237454023	199.539979452775	209.171159281348	168.411745666687	160.028082347354	196.056647300627
CG10219	838.79630360951	937.745239254175	990.378970666123	533.373790723089	399.137710130763	551.271977212455	1146.42859836533	1194.54339050783	1284.90854987114	431.555098270885	557.517190113362	431.324624061379
CG10221	334.886659821499	419.203909920828	308.596345932198	328.321200067324	258.153507029682	365.877615165504	316.776323232526	364.025638190874	331.187668862134	310.509156072954	219.393338702017	259.230455875273
CG10222	217.992259695127	139.072387177526	189.463803083954	238.240293189646	195.282173214335	174.344366958059	135.761281385368	210.32592428806	164.348768006773	105.257341041679	175.514670961614	196.056647300627
