gene	RNA_P1_1	RNA_P1_3	RNA_P1_5	RNA_P2_1	RNA_P2_3	RNA_P2_5	RNA_HYB_P1_1	RNA_HYB_P1_3	RNA_HYB_P1_5	RNA_HYB_P2_1	RNA_HYB_P2_3	RNA_HYB_P2_5	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3	ATAC_P1_1	ATAC_P1_2	ATAC_P1_3	ATAC_P2_1	ATAC_P2_2	ATAC_P2_3
CG10161	1200.53708237896	1122.51283936146	1336.29394447849	529.817965451602	452.483084277118	469.010902661821	1878.03105916426	2084.38383941885	2074.28066287336	513.129537578187	464.597658427801	459.643917560358	354.041961392466	337.962131129307	318.249978728083	273.645177143368	311.618934560024	310.293706400861	264.188228829276	308.63876433523	413.518540530677	233.430568477933	259.369731552328	283.976545409722
CG10171	832.477687386462	669.534206840375	723.407248138733	638.863273777211	644.907469590755	526.716432570474	701.433287157737	633.674259073002	644.944407784155	605.229710989656	539.449503396725	413.897366523545	355.101967264899	318.711123659916	313.829840134637	256.891390787651	306.222935693184	314.124492899637	209.589328204559	273.960251488575	289.630394784644	251.641463891105	321.749793571242	246.529088872176
CG10173	535.502724903246	536.4220648276	427.728888780442	801.245961175129	916.397320157026	649.494155780375	505.333658489983	450.313196873155	577.710820872294	1002.576173422	681.409899027442	862.649248122758	405.98224914166	329.406127809578	341.455706343672	396.506277085288	348.041926911195	566.956401818857	457.926263304079	487.233105495504	371.664437238098	609.23722836794	482.624690356863	410.361711223939
CG10192	241.687070531554	290.065264684554	199.51112597477	206.237865746261	186.708809512242	232.049896866713	170.958650633427	118.645393188137	224.111956372872	199.988947979191	139.37929752834	161.20213222496	201.401115762181	164.703063904789	161.335058660764	145.199481749542	169.973964305467	199.200897936355	93.3465075196776	140.447977028953	135.607294667955	147.342699252029	98.4948347667068	132.626408570475
CG10197	120.053708237896	133.112142012775	116.261879165154	106.674758144618	187.661405479141	217.316570081524	173.47274843686	105.16296214403	84.664516851974	255.249052026072	178.095769063991	165.558946609418	90.1004991567653	121.923047306142	83.9826332754664	178.707054460975	124.107973937325	126.41595445961	95.1077623785395	112.705166751629	90.4048631119698	210.253065224805	152.666993888395	166.953243729892
CG10198	467.577600505489	598.011264863361	551.167427153321	573.673143799945	545.837489033239	465.327570965524	460.079898028193	409.865903740835	510.477233960432	460.500867057347	325.218360899461	357.258779525586	89.0404932843328	64.1700248979697	88.402771868912	122.86109994192	64.7519864020829	91.9388759706255	72.2114492133355	74.5588026203084	97.1015196387823	81.1212613859485	80.4374483928105	84.256777209478
CG10203	398.072822051971	329.800232449561	218.170439914856	694.571203030511	659.196409094243	584.421962479128	522.932343114012	409.865903740835	169.329033703948	536.812439312564	614.301348365649	736.301630973465	418.702319610851	378.603146898021	344.770810288757	608.720904257696	557.136883001255	639.741345295603	237.769405946349	430.013559298523	361.619452447879	864.189764152349	656.632231778045	805.120315557234
CG10208	64.7658162862333	43.7084645415081	63.1546010279847	128.009709773541	118.1218998955	144.877713387683	55.3101516755205	97.0735035175663	62.2533212146868	110.520208093763	108.40612029982	115.455581188147	468.52259561518	494.109191714366	448.644067234728	424.429254344815	464.05590254826	371.586290381278	408.611127255947	367.592236174544	329.810333945519	380.773267729962	379.205113851821	396.318915022359
CG10210	609.74646552405	786.752361747147	624.369351072121	637.677998686715	545.837489033239	461.644239269227	538.016929934608	663.335607370036	749.529987424829	489.446635843809	521.381816680088	387.756480216795	279.841550322189	335.823130299375	292.834181815771	307.152749854801	210.443955806769	310.293706400861	285.323287135618	308.63876433523	313.068692628488	281.441110930842	211.76389474842	251.210020939369
CG10211	225.890529973936	174.833858166033	132.05052942215	309.356798619392	319.11964891123	125.233277674099	196.099628667754	118.645393188137	166.838900855361	136.834543354183	312.312870387578	455.2871031759	151.580839757852	132.618051455804	116.028638077947	161.953268105258	195.604958922959	245.170335921668	59.8826652013026	135.246200101955	83.7082065851572	294.685398504058	277.427117926224	271.494059897207
CG10214	240.107416475792	234.436309813544	246.877076745758	248.907769004108	261.01129493038	211.177683921029	186.043237454023	199.539979452775	209.171159281348	168.411745666687	160.028082347354	196.056647300627	106.000587243253	106.950041496616	110.50346483614	189.876245364786	180.765962039148	84.2773029730734	81.0177235076447	90.1641334013032	98.7756837704855	139.065019518769	126.401704617274	182.556350620536
CG10219	838.79630360951	937.745239254175	990.378970666123	533.373790723089	399.137710130763	551.271977212455	1146.42859836533	1194.54339050783	1284.90854987114	431.555098270885	557.517190113362	431.324624061379	240.621333042185	273.792106231337	321.565082673167	167.537863557164	295.430937959503	199.200897936355	260.665719111553	275.694177130908	306.372036101675	254.952535784409	208.480733589529	251.210020939369
CG10221	334.886659821499	419.203909920828	308.596345932198	328.321200067324	258.153507029682	365.877615165504	316.776323232526	364.025638190874	331.187668862134	310.509156072954	219.393338702017	259.230455875273	336.021861561113	348.657135278968	361.346330014178	452.352231604343	304.873935976473	260.493481916772	311.742110018546	393.601120809535	298.00121544316	349.318084743574	308.617148935681	361.992079862942
CG10222	217.992259695127	139.072387177526	189.463803083954	238.240293189646	195.282173214335	174.344366958059	135.761281385368	210.32592428806	164.348768006773	105.257341041679	175.514670961614	196.056647300627	151.580839757852	139.035053945601	144.759538935343	173.122459009069	151.087968271527	164.723819447371	118.004075543743	156.053307809948	192.528875145862	74.4991175993404	129.684865776164	101.420194789186
CG10255	420.187978832636	299.999006625806	430.599552463532	444.478158935907	500.112882622078	462.872016501326	397.227452942374	264.255648464486	338.658067407896	473.658034687557	353.610440025605	365.972408294503	944.465232337387	1003.19138923826	993.426148876898	954.965822275834	871.453816994699	838.942243231958	907.046252313849	950.191251998349	837.082065851572	842.667796845873	771.542872339203	769.233169708752
CG10265	161.124713687702	188.741096883785	172.239820985413	237.055018099151	196.234769181234	228.366565170415	155.87406381283	188.75403461749	174.309299401123	210.514682083359	211.650044394887	143.774874687126	432.482395952474	442.773171795991	664.125823665201	575.213331546263	499.129895182722	417.555728366591	796.087196205553	570.461536327476	473.78844927199	635.725803514372	564.703719329119	438.447303627098
CG10269	726.640865650422	814.566839182652	832.492468096161	736.055831197863	783.033884791139	759.994106669286	678.806406926842	614.798855611253	761.980651667767	726.275653187587	619.463544570402	540.244983672838	249.101380021645	290.904112870796	237.582449397701	251.306795335746	183.463961472568	187.708538440027	193.738034474803	251.419218138249	246.102127360362	235.086104424585	180.573863738962	224.684739225275
CG10270	499.170681620725	443.044890579832	546.861431628685	510.85356400367	527.738165662154	564.777526765544	462.593995831626	496.153462423116	517.947632506194	463.132300583389	655.598918003675	483.606396674879	1406.62779271797	1259.87148883014	1141.50079175733	1390.56426752446	1265.36173427404	1279.48269059121	1167.7119714254	1078.50174953097	1180.28571285072	1185.36373780284	1057.17789316265	1221.72326953743
CG10274	391.754205828923	377.48219376757	376.056942484818	431.440132940454	443.909720575025	414.988704449465	326.832714446257	307.399427805626	348.618598802246	313.140589598996	335.542753308968	348.54515075667	253.341403511375	297.321115360593	236.477414749339	290.398963499084	244.168948724521	256.662695417996	154.990427579842	187.263969371937	227.686321911628	195.353241704937	233.104442281206	224.684739225275
CG10275	295.395308427454	282.118271131553	179.416480193138	234.684467918159	253.390527195186	275.022099990178	331.860910053123	302.006455387984	224.111956372872	294.720554916702	325.218360899461	383.399665832337	184.441021803261	151.869058925195	176.805543737824	240.137604431935	210.443955806769	314.124492899637	186.693015039355	299.969136123566	247.776291492065	346.00701285027	392.337758487382	346.388972972298
CG10283	104.257167680278	85.4301806947659	60.2839373448944	92.4514570586688	130.50564746519	165.749926333366	130.733085778503	126.7348518146	84.664516851974	210.514682083359	268.434202647174	267.94408464419	339.201879178411	282.348109551066	374.606745794514	435.598445248626	468.102901698391	532.479323329873	228.963131652039	424.811782371525	338.181154604035	786.379574659705	710.804390899734	801.999694179105
CG10289	516.546876234105	437.084645415081	500.930812699242	508.483013822678	411.521457700452	440.772026323544	417.340235369836	388.294014070265	545.339093840656	349.980658963584	330.380557104214	363.794001102274	125.080692947039	134.757052285736	138.129331045175	128.445695393826	86.3359818694438	122.585167960834	75.7339589310592	112.705166751629	100.449847902189	120.854124105597	151.02541330895	99.859884100122
CG10293	217.992259695127	262.250787249049	155.015838886871	125.63915959255	175.277657909452	211.177683921029	256.43797595014	199.539979452775	293.835676133322	184.200346822939	221.974436804394	156.845317840501	702.78389342277	515.49920001369	615.504299137299	647.813072421034	605.700872802817	647.402918293155	581.214103424408	518.443767057494	515.642552564568	498.316319942255	431.735692394065	452.490099828678
CG10302	685.569860200616	512.581084168595	327.255659872284	770.428808822239	801.133208162223	771.044101758177	603.38347282386	501.546434840759	333.677801710721	857.847329489686	895.641041524706	1102.27403926797	94.3405226464955	87.6990340272252	138.129331045175	195.460840816691	118.711975070485	84.2773029730734	96.8690172374013	175.126489875608	123.888145746033	182.108954131721	210.122314168974	187.237282687729
CG10318	170.602638022273	123.178400071523	180.851812034683	125.63915959255	120.979687796198	180.483253118554	160.902259419696	134.824310441064	134.467173823723	157.886011562519	198.744553883004	126.347617149293	242.74134478705	275.93110706127	219.901895023918	184.29164991288	271.148943058722	226.016403427788	207.828073345697	220.20855657626	182.483890355643	152.309307091985	226.538119963426	244.968778183112
CG10321	587.631308743385	554.302800321853	622.934019230576	751.464407374308	692.537267935715	714.566349081623	593.327081610129	533.904269346614	500.516702566082	642.069780354244	619.463544570402	601.240385055255	633.883511714655	667.368258938884	740.373214402138	658.982263324845	710.922850706201	681.879996782139	762.623353887177	665.827446655778	667.991488549554	706.913849220408	656.632231778045	695.898567322725
CG10326	382.276281494353	252.317045307797	361.703624069367	413.661006583018	434.383760906033	331.499852666732	233.811095719246	355.93617956441	298.815941830497	305.24628902087	402.651303970761	265.765677451961	303.161679515705	263.097102081676	364.661433959262	368.583299825761	353.437925778036	344.770784889846	383.953559231882	355.454756678215	296.327051311457	403.95077098309	311.900310094571	304.260584367559
CG10327	420.187978832636	381.455690544071	439.211543512802	619.898872329279	550.600468867735	611.433061585306	487.734973865953	450.313196873155	493.046304020319	576.283942203194	622.044642672779	535.88816928838	116.600645967579	109.089042326548	99.4531183525259	128.445695393826	62.0539869686627	160.893032948595	88.0627429430921	93.6319846859687	140.629787063064	119.198588158945	77.1542872339203	98.2995734110576
CG10333	170.602638022273	147.019380730527	97.6025652250672	336.618125700794	327.693012613323	329.044298202534	226.268802308947	210.32592428806	84.664516851974	363.137826593793	289.082987466188	365.972408294503	119.780663584876	132.618051455804	161.335058660764	212.214627172408	321.061932576994	268.155054914324	114.48156582602	220.20855657626	162.393920775205	549.637934288467	446.509917609071	438.447303627098
CG10335	355.422162546402	313.906245343559	360.268292227822	475.295311288797	462.961639913009	346.23317945192	357.00188808745	345.150234729125	368.539661590946	447.343699427137	415.556794482645	453.108695983671	200.341109889749	158.286061414992	149.179677528789	351.829513470044	330.504930593965	413.724941867815	147.945408144395	100.5676872553	120.539817482626	278.130039037538	326.674535309577	360.431769173878
CG10336	236.948108364268	198.674838825037	159.321834411507	317.653724252862	360.081275487896	294.666535703762	339.403203463421	221.111869123345	124.506642429374	299.983421968786	332.961655206591	318.047450065461	162.180898482178	173.259067224518	148.074642880428	323.906536210517	321.061932576994	206.862470933907	102.152781813987	143.915828313619	197.551367540971	382.428803676614	362.78930805737	379.155497442651
CG10341	407.550746386541	260.264038860799	236.829753854943	433.810683121446	349.602719852005	256.605441508693	412.312039762971	409.865903740835	413.36205286552	289.457687864618	216.812240599641	374.68603706342	276.661532704891	357.213138598698	295.044251112494	178.707054460975	111.966976486935	99.6004489681777	457.926263304079	435.215336225521	549.125835198631	178.797882238417	142.817510411725	78.0155344532203
CG10346	63.1861622304715	71.5229419770133	40.189291563263	71.1165054297452	74.3024854181372	76.1221883901385	110.620303351041	59.3226965940683	72.2138526090367	60.5229710989656	103.243924095067	130.704431533751	111.300616605416	68.4480265578343	95.0329797590803	117.276504490015	133.550971954296	122.585167960834	81.0177235076447	136.980125744288	155.697264248392	192.042169811633	172.365960841737	193.478525443986
CG10347	221.15156780665	298.012258237556	330.126323555374	270.242720633032	290.541769904255	278.705431686475	326.832714446257	318.185372640912	204.190893584173	299.983421968786	283.920791261434	389.934887409024	186.561033548126	190.371073863977	224.322033617364	184.29164991288	161.879966005207	199.200897936355	223.679367075454	260.088846349913	209.270516462893	124.165195998901	183.857024897853	198.15945751118
CG10353	1085.22233630835	1098.67185870245	1185.58410111626	890.141592962311	779.223500923542	861.899616933504	781.884416867585	870.965045449275	1177.83283738187	786.798624286553	764.005038303496	928.001463889633	273.481515087594	252.402097932014	250.842865178038	279.229772595273	182.114961755858	325.616852395965	227.201876793178	239.28173864192	242.753799096956	173.831274398461	178.932283159517	220.003807158081
CG10354	714.003633204328	671.520955228625	545.42609978714	824.951462985044	830.663683136098	825.066299970533	1221.85153246832	819.731807481671	861.585965611265	736.801387291755	985.97947510789	1093.56041049905	243.801350659483	239.56809295242	283.99390462888	385.337086181477	376.370920962107	310.293706400861	253.620699676105	343.317277181885	298.00121544316	670.492058394064	431.735692394065	555.470605306929
CG10363	83.7216649553748	61.5892000357615	68.8959283941651	465.813110564831	540.121913231844	542.677536587762	183.529139650591	186.057548408669	129.486908126549	973.630404635533	939.51970926511	969.391200541988	344.501908540573	314.433122000051	328.195290563336	508.198186123397	550.391884417704	517.156177334769	449.11998900977	582.599015823805	426.911853584302	908.889234711953	751.843905385862	867.53274311981
CG10366	44.2303135613301	59.6024516475111	66.0252647110749	258.389969728074	247.674951393791	262.744327669188	160.902259419696	97.0735035175663	104.585579640674	499.972369947977	433.624481199281	457.465510368129	40.2802231524363	42.7800165986464	60.776905659877	178.707054460975	152.436967988237	206.862470933907	58.1214103424408	69.3570256933102	85.3823707168603	223.497352798021	241.312345178432	235.606914048725
CG10367	189.558486691415	158.93987106003	152.145175203781	168.309062850397	179.088041777049	162.066594637069	135.761281385368	172.575117364562	149.407970915248	178.937479770855	162.609180449731	169.915760993877	196.101086400019	213.900082993232	182.330716979631	189.876245364786	141.644970254556	141.739100454714	128.571604696914	168.190787306277	195.877203409268	192.042169811633	155.950155047286	176.315107864278
CG10371	293.815654371693	292.052013072804	289.937031992111	276.16909608551	244.817163493093	267.655436597584	304.205834215363	277.738079508592	239.052753464397	194.726080927107	219.393338702017	169.915760993877	322.24178521949	303.73811785039	247.527761232953	251.306795335746	203.698957223219	195.370111437579	234.246896228625	247.951366853584	316.417020891894	180.453418185069	183.857024897853	187.237282687729
CG10379	576.573730353053	701.322181052381	683.21795657547	593.822820338372	652.528237325949	568.460858461841	387.171061728643	550.083186599542	592.651617963818	426.292231218801	495.570835656322	566.385869979588	434.602407697339	485.553188394637	463.009517663426	335.075727114328	362.880923795006	524.817750332321	394.521088385053	404.004674663532	458.720972086661	347.662548796922	343.090341104029	385.396740198908
CG10385	202.195719137509	143.045883954027	111.955883640518	246.537218823117	261.01129493038	255.377664276594	236.325193522678	167.18214494692	99.6053139434989	194.726080927107	273.596398851928	344.188336372211	189.741051165423	128.340049795939	221.00692967228	245.72219988384	389.860918129207	375.417076880054	123.287840120329	213.272854006929	214.293008858002	521.493823195383	464.567303982967	455.610721206807
CG10391	533.923070847484	439.071393803332	249.747740428848	828.507288256531	844.952622639586	489.883115607504	673.778211319977	355.93617956441	380.990325833883	273.669086708366	400.070205868385	559.850648402901	167.48092784434	173.259067224518	197.80120205669	111.691909038109	160.530966288497	122.585167960834	188.454269898217	315.574466904561	304.697871969972	253.296999837757	246.237086916767	237.16722473779
CG10413	470.736908617013	486.753355121341	287.066368309021	608.046121424321	793.51244042703	692.46635890384	631.03854866162	415.258876158478	209.171159281348	821.007260125098	903.384335831836	1063.06270980784	104.940581370821	100.533039006819	123.763880616477	189.876245364786	149.738968554817	180.046965442475	54.5989006247171	95.3659103283015	75.3373859266415	165.553594665201	201.914411271749	152.910447528312
CG10415	543.400995182055	508.607587392095	595.662714241219	668.495151039605	608.708822848586	685.099695511246	527.960538720877	633.674259073002	667.355603421443	663.121248562579	686.572095232196	627.381271362006	480.182660211938	468.441181755178	572.407947851205	502.613590671492	499.129895182722	528.648536831097	560.079045118066	497.6366593495	450.350151428146	468.516672902519	379.205113851821	321.424001947268
CG10424	217.992259695127	162.91336783653	304.290350407562	158.826862126431	177.18284984325	179.255475886455	291.635345198199	285.827538135056	263.954081950272	78.9430057812595	154.865886142601	126.347617149293	206.701145124344	218.178084653097	268.52341955182	206.630031720502	230.67895155742	111.092808464506	144.422898426671	213.272854006929	220.989665384815	271.50789525093	254.444989813992	209.08163233463
CG10425	161.124713687702	170.860361389532	206.687785182495	176.605988483867	211.476304651621	198.899911600039	155.87406381283	183.361062199847	154.388236612423	231.566150291694	232.298829213901	169.915760993877	305.28169126057	280.209108721134	327.090255914974	173.122459009069	287.336939659243	317.955279398413	181.40925046277	221.942482218593	202.57385993608	246.674856051149	234.746022860651	224.684739225275
CG1044	412.289708553827	506.620839003844	467.918180343705	426.699032578471	466.772023780606	518.121991945781	457.56580022476	334.364289893839	393.440990076821	613.124011567782	513.638522372958	477.071175098192	373.122067096252	370.047143578292	361.346330014178	335.075727114328	300.826936826343	325.616852395965	251.859444817243	277.428102773241	286.282066521238	312.89629391723	295.48450430012	330.785866081654
CG10440	366.479740936735	401.323174426575	301.419686724472	245.351943732621	327.693012613323	278.705431686475	346.945496873719	293.91699676152	311.266606073434	389.452161854213	268.434202647174	213.48390483846	1061.06587830497	832.071322843673	802.255154710376	837.68931778582	965.883797164403	1018.98920867443	947.555114067671	820.146828823393	798.5762908224	941.999953644994	853.621901311459	806.680626246298
CG10444	230.629492141221	270.19778080205	298.549023041382	374.546928596658	354.365699686501	314.310971417346	246.381584736409	226.504841540988	219.131690675698	263.143352604198	289.082987466188	300.620192527628	1432.06793365635	1424.57455273493	1236.53377151641	1144.84206764062	1201.95874758866	1087.9433656524	1271.62600809825	1201.6104701366	1248.92644225055	971.79960068473	960.324638975391	931.505481371451
CG10460	533.923070847484	468.872619627087	480.836166917611	346.10032642476	380.085790792779	429.722031234653	394.713355138942	482.67103137901	483.08577262597	405.240763010465	418.137892585021	396.470108985712	311.641726495165	346.518134449036	461.904483015065	256.891390787651	306.222935693184	203.031684435131	308.219600300822	327.711946400891	303.023707838269	357.595764476834	298.767665459011	246.529088872176
CG10467	116.894400126372	162.91336783653	160.757166253052	323.580099705341	297.209941672549	251.694332580297	105.592107744175	156.396200111635	253.993550555922	342.086358385458	340.704949513721	435.681438445837	68.9003817081147	53.4750207483081	54.1466977697086	184.29164991288	179.416962322438	252.83190891922	52.8376457658553	65.8891744086447	77.0115500583446	362.56237231679	305.333987776791	290.21778816598
CG10484	578.153384408814	492.713600286092	292.807695675202	656.642400134647	579.178347874711	682.644141047048	854.793253167135	571.655076270112	353.598864499421	647.332647406328	820.789196555783	958.499164580842	304.221685388137	295.18211453066	247.527761232953	351.829513470044	430.330909630509	398.401795872711	188.454269898217	393.601120809535	241.079634965253	809.557077912833	549.929494114113	578.875265642895
CG10488	459.67933022668	437.084645415081	519.590126639328	328.321200067324	301.020325540146	448.138689716138	392.199257335509	679.514524622964	657.395072027093	342.086358385458	477.503148939685	466.179139137046	560.74310651681	688.758267238208	783.469565688232	832.104722333914	830.983825493397	827.44988373563	667.515591508638	605.140049174131	557.496655857147	713.535993007016	576.194783385235	571.073712197573
